Año,Trimestre,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS,Total,id_provincia
2021,2,18.0,333.0,59989.0,784.0,12550.0,340.0,278.0,4641.0,78933.0,18
2021,2,60.0,0.0,11752.0,2703.0,5418.0,65946.0,22.0,36917.0,122818.0,19
2021,2,50.0,0.0,30595.0,8463.0,6888.0,1575.0,676.0,735.0,48982.0,20
2021,2,467.0,896.0,202018.0,204077.0,80452.0,75195.0,262124.0,15371.0,840600.0,21
2021,2,123.0,909.0,32034.0,62224.0,10359.0,811.0,6064.0,1566.0,114090.0,22
2021,2,17.0,0.0,21335.0,6913.0,4580.0,476.0,889.0,1483.0,35693.0,23
2021,2,32.0,97.0,40224.0,51648.0,23732.0,5022.0,109616.0,2680.0,233051.0,24
2021,1,36939.0,31187.0,1108368.0,240520.0,163747.0,222061.0,2246313.0,10867.0,4060002.0,1
2021,1,135.0,244.0,159662.0,76753.0,56457.0,83255.0,1003041.0,126.0,1379673.0,2
2021,1,71.0,0.0,7423.0,8455.0,10115.0,712.0,22996.0,2196.0,51968.0,3
2021,1,301.0,112.0,24357.0,22102.0,27556.0,14496.0,42462.0,8384.0,139770.0,4
2021,1,106.0,109.0,86986.0,21401.0,15392.0,2844.0,1112.0,4390.0,132340.0,5
2021,1,93.0,2386.0,211799.0,135092.0,74659.0,71984.0,402191.0,12677.0,910881.0,6
2021,1,67.0,527.0,31544.0,26223.0,26169.0,9001.0,27641.0,5453.0,126625.0,7
2021,1,105.0,2911.0,67255.0,56060.0,42432.0,15774.0,54600.0,12826.0,251963.0,8
2021,1,56.0,0.0,22409.0,7569.0,7916.0,1215.0,9579.0,1942.0,50686.0,9
2021,1,49.0,175.0,23735.0,17293.0,40649.0,568.0,25609.0,2378.0,110456.0,10
2021,1,298.0,554.0,68200.0,7864.0,7611.0,2786.0,7368.0,2424.0,97105.0,11
2021,1,28.0,40.0,134386.0,11216.0,52533.0,4061.0,16615.0,44.0,218923.0,13
2021,1,51.0,524.0,40949.0,25503.0,27101.0,14050.0,32953.0,8256.0,149387.0,14
2021,1,116.0,327.0,56171.0,8443.0,5903.0,5677.0,50840.0,5758.0,133235.0,15
2021,1,125.0,466.0,70011.0,4187.0,13045.0,3642.0,29589.0,20103.0,141168.0,16
2021,1,109.0,20.0,40785.0,68149.0,9164.0,8139.0,54889.0,6319.0,187574.0,17
2021,1,25.0,194.0,60439.0,858.0,11494.0,340.0,276.0,4641.0,78267.0,18
2021,1,58.0,0.0,11889.0,2926.0,4429.0,62913.0,22.0,36917.0,119154.0,19
2021,1,518.0,891.0,201632.0,204458.0,91846.0,65476.0,236924.0,24382.0,826127.0,21
2021,1,123.0,909.0,33884.0,58464.0,8549.0,700.0,4868.0,4144.0,111641.0,22
2021,1,17.0,0.0,21379.0,1468.0,4317.0,486.0,919.0,11836.0,40422.0,23
2021,1,29.0,97.0,42810.0,53416.0,25255.0,4188.0,103437.0,2680.0,231912.0,24
2020,4,36939.0,31197.0,1109865.0,242243.0,214171.0,213588.0,2176242.0,9016.0,4033261.0,1
