Año,Trimestre,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total,ID
2019,2,68827.0,62343.0,725.0,1210.0,9463.0,142568.0,17
2019,2,51680.0,7425.0,1174.0,2870.0,6876.0,70025.0,18
2019,2,11130.0,10298.0,347.0,57242.0,38368.0,117385.0,19
2019,2,10665.0,10257.0,379.0,6514.0,2735.0,30550.0,20
2019,2,325420.0,355140.0,18236.0,21980.0,22708.0,743484.0,21
2019,2,24393.0,64783.0,219.0,2759.0,34600.0,126754.0,22
2019,2,19790.0,25527.0,651.0,0.0,1486.0,47454.0,23
2019,2,153121.0,12089.0,116.0,684.0,321.0,166331.0,24
2019,1,1304507.0,2020730.0,336362.0,64867.0,20201.0,3746667.0,1
2019,1,328246.0,1030814.0,32281.0,3978.0,4281.0,1399600.0,2
2019,1,26912.0,4443.0,16.0,0.0,2251.0,33622.0,3
2019,1,53409.0,43555.0,1951.0,3628.0,1134.0,103677.0,4
2019,1,37302.0,23065.0,1923.0,14443.0,3045.0,79778.0,5
2019,1,323272.0,363959.0,19902.0,24615.0,12367.0,744115.0,6
2019,1,55842.0,43444.0,1615.0,1528.0,58.0,102487.0,7
2019,1,100999.0,90253.0,12723.0,16231.0,12241.0,232447.0,8
2019,1,22570.0,7878.0,940.0,13761.0,62.0,45211.0,9
2019,1,33248.0,12484.0,153.0,640.0,43622.0,90147.0,10
2019,1,18832.0,57373.0,2891.0,9023.0,1041.0,89160.0,11
2019,1,16367.0,34984.0,12.0,252.0,41.0,51656.0,12
2019,1,148524.0,40205.0,5662.0,10363.0,1544.0,206298.0,13
2019,1,54898.0,59214.0,465.0,426.0,7717.0,122720.0,14
2019,1,40747.0,55634.0,3114.0,12510.0,2372.0,114377.0,15
