Año,Trimestre,Banda ancha fija,Dial up,Total,id_provincia
2017,3,113755,2029.0,115784,15
2017,3,106393,1103.0,107496,16
2017,3,132517,1.0,132518,17
2017,3,61789,660.0,62449,18
2017,3,21408,311.0,21719,19
2017,3,33222,468.0,33690,20
2017,3,662086,256.0,662342,21
2017,3,82792,2.0,82794,22
2017,3,30883,583.0,31466,23
2017,3,160979,33.0,161012,24
2017,2,3067430,11201.0,3078631,1
2017,2,1592175,8016.0,1600191,2
2017,2,26692,13.0,26705,3
2017,2,90597,14.0,90611,4
2017,2,62245,1730.0,63975,5
2017,2,657505,133.0,657638,6
2017,2,90085,12.0,90097,7
2017,2,182675,57.0,182732,8
2017,2,29956,0.0,29956,9
2017,2,42656,1.0,42657,10
2017,2,72573,449.0,73022,11
2017,2,16271,18.0,16289,12
2017,2,169302,1451.0,170753,13
2017,2,99794,0.0,99794,14
2017,2,115321,2112.0,117433,15
2017,2,100621,998.0,101619,16
2017,2,108540,1.0,108541,17
2017,2,51261,620.0,51881,18
2017,2,12992,315.0,13307,19
2017,2,26019,369.0,26388,20
2017,2,566918,362.0,567280,21
2017,2,33194,2.0,33196,22
2017,2,31938,619.0,32557,23
2017,2,154374,37.0,154411,24
2017,1,3178174,11202.0,3189376,1
2017,1,1391030,8016.0,1399046,2
2017,1,26304,13.0,26317,3
2017,1,89036,14.0,89050,4
2017,1,62166,1730.0,63896,5
2017,1,641066,133.0,641199,6
2017,1,88596,12.0,88608,7
2017,1,180296,57.0,180353,8
2017,1,29705,0.0,29705,9
2017,1,43202,1.0,43203,10
2017,1,71458,455.0,71913,11
2017,1,16207,18.0,16225,12
2017,1,169282,1451.0,170733,13
2017,1,97619,0.0,97619,14
2017,1,113227,2112.0,115339,15
2017,1,100288,1000.0,101288,16
2017,1,107632,1.0,107633,17
2017,1,51253,620.0,51873,18
2017,1,12992,315.0,13307,19
2017,1,26116,370.0,26486,20
2017,1,562520,362.0,562882,21
2017,1,34473,2.0,34475,22
2017,1,31938,619.0,32557,23
2017,1,152734,37.0,152771,24
2016,4,3131499,11202.0,3142701,1
2016,4,1393443,8016.0,1401459,2
2016,4,27021,13.0,27034,3
2016,4,88833,14.0,88847,4
2016,4,62035,1730.0,63765,5
2016,4,636422,133.0,636555,6
2016,4,88084,12.0,88096,7
2016,4,180188,57.0,180245,8
2016,4,29513,0.0,29513,9
2016,4,42624,1.0,42625,10
2016,4,71368,460.0,71828,11
2016,4,16298,18.0,16316,12
