Año,Trimestre,Provincia,Accesos por cada 100 hogares
2017,1,La Rioja,16.2
2017,1,Mendoza,31.84
2017,1,Misiones,29.52
2017,1,Neuquén,61.02
2017,1,Río Negro,46.03
2017,1,Salta,32.58
2017,1,San Juan,27.04
2017,1,San Luis,9.55
2017,1,Santa Cruz,26.52
2017,1,Santa Fe,51.97
2017,1,Santiago Del Estero,14.7
2017,1,Tierra Del Fuego,68.92
2017,1,Tucumán,37.9
2016,4,Buenos Aires,61.24
2016,4,Capital Federal,120.63
2016,4,Catamarca,26.54
2016,4,Chaco,28.79
2016,4,Chubut,36.07
2016,4,Córdoba,57.7
2016,4,Corrientes,30.98
2016,4,Entre Ríos,45.21
2016,4,Formosa,19.85
2016,4,Jujuy,22.65
2016,4,La Pampa,63.02
2016,4,La Rioja,16.46
2016,4,Mendoza,32.11
2016,4,Misiones,29.72
2016,4,Neuquén,60.87
2016,4,Río Negro,46.39
2016,4,Salta,32.69
2016,4,San Juan,27.29
2016,4,San Luis,9.64
2016,4,Santa Cruz,27.05
2016,4,Santa Fe,52.19
2016,4,Santiago Del Estero,15.07
2016,4,Tierra Del Fuego,70.31
2016,4,Tucumán,37.98
2016,3,Buenos Aires,60.14
2016,3,Capital Federal,120.77
2016,3,Catamarca,26.48
2016,3,Chaco,28.91
2016,3,Chubut,36.18
2016,3,Córdoba,58.24
2016,3,Corrientes,31.07
2016,3,Entre Ríos,45.44
2016,3,Formosa,18.64
2016,3,Jujuy,22.61
2016,3,La Pampa,61.73
2016,3,La Rioja,17.07
2016,3,Mendoza,32.09
2016,3,Misiones,29.91
2016,3,Neuquén,60.21
2016,3,Río Negro,46.39
2016,3,Salta,32.96
2016,3,San Juan,27.32
2016,3,San Luis,9.63
2016,3,Santa Cruz,26.84
2016,3,Santa Fe,52.67
2016,3,Santiago Del Estero,15.33
2016,3,Tierra Del Fuego,68.94
2016,3,Tucumán,37.9
2016,2,Buenos Aires,59.34
2016,2,Capital Federal,120.04
2016,2,Catamarca,26.07
2016,2,Chaco,28.59
2016,2,Chubut,36.12
2016,2,Córdoba,57.55
2016,2,Corrientes,30.58
2016,2,Entre Ríos,44.74
2016,2,Formosa,19.37
2016,2,Jujuy,21.89
2016,2,La Pampa,60.44
2016,2,La Rioja,16.88
2016,2,Mendoza,32.13
2016,2,Misiones,29.24
2016,2,Neuquén,59.1
2016,2,Río Negro,46.24
2016,2,Salta,32.08
2016,2,San Juan,27.34
2016,2,San Luis,9.6
2016,2,Santa Cruz,26.73
2016,2,Santa Fe,52.44
2016,2,Santiago Del Estero,15.89
2016,2,Tierra Del Fuego,67.72
2016,2,Tucumán,37.24
2016,1,Buenos Aires,57.34
2016,1,Capital Federal,115.16
2016,1,Catamarca,25.91
2016,1,Chaco,28.08
2016,1,Chubut,36.09
2016,1,Córdoba,55.28
2016,1,Corrientes,30.08
2016,1,Entre Ríos,43.85
2016,1,Formosa,19.04
2016,1,Jujuy,21.41
2016,1,La Pampa,57.84
2016,1,La Rioja,16.83
2016,1,Mendoza,32.12
2016,1,Misiones,28.37
2016,1,Neuquén,55.75
2016,1,Río Negro,45.84
2016,1,Salta,31.32
2016,1,San Juan,27.33
2016,1,San Luis,9.59
2016,1,Santa Cruz,26.87
2016,1,Santa Fe,51.28
2016,1,Santiago Del Estero,16.21
2016,1,Tierra Del Fuego,65.83
2016,1,Tucumán,36.72
2015,4,Buenos Aires,58.29
2015,4,Capital Federal,118.13
2015,4,Catamarca,26.24
2015,4,Chaco,28.35
2015,4,Chubut,36.89
2015,4,Córdoba,57.36
2015,4,Corrientes,30.34
2015,4,Entre Ríos,44.11
2015,4,Formosa,19.07
2015,4,Jujuy,21.47
2015,4,La Pampa,58.76
2015,4,La Rioja,17.32
2015,4,Mendoza,32.49
2015,4,Misiones,28.69
2015,4,Neuquén,58.29
2015,4,Río Negro,46.44
2015,4,Salta,31.59
2015,4,San Juan,27.66
2015,4,San Luis,9.71
2015,4,Santa Cruz,27.74
2015,4,Santa Fe,52.61
2015,4,Santiago Del Estero,17.0
2015,4,Tierra Del Fuego,66.46
2015,4,Tucumán,37.06
2015,3,Buenos Aires,57.69
2015,3,Capital Federal,118.29
2015,3,Catamarca,25.86
2015,3,Chaco,27.96
2015,3,Chubut,36.81
2015,3,Córdoba,57.08
2015,3,Corrientes,30.17
2015,3,Entre Ríos,43.68
2015,3,Formosa,18.84
2015,3,Jujuy,21.27
2015,3,La Pampa,57.96
2015,3,La Rioja,17.15
2015,3,Mendoza,32.49
2015,3,Misiones,28.31
2015,3,Neuquén,54.6
2015,3,Río Negro,46.39
2015,3,Salta,31.18
2015,3,San Juan,27.67
2015,3,San Luis,9.71
2015,3,Santa Cruz,27.61
2015,3,Santa Fe,52.15
2015,3,Santiago Del Estero,17.12
2015,3,Tierra Del Fuego,74.86
2015,3,Tucumán,36.61
2015,2,Buenos Aires,56.8
2015,2,Capital Federal,116.07
2015,2,Catamarca,25.45
2015,2,Chaco,27.46
2015,2,Chubut,36.58
2015,2,Córdoba,55.87
2015,2,Corrientes,29.58
2015,2,Entre Ríos,42.93
2015,2,Formosa,18.36
2015,2,Jujuy,20.29
2015,2,La Pampa,56.71
2015,2,La Rioja,16.88
2015,2,Mendoza,32.49
2015,2,Misiones,27.35
2015,2,Neuquén,53.12
2015,2,Río Negro,45.98
2015,2,Salta,30.46
2015,2,San Juan,27.64
2015,2,San Luis,9.71
2015,2,Santa Cruz,27.07
2015,2,Santa Fe,51.18
2015,2,Santiago Del Estero,17.11
2015,2,Tierra Del Fuego,74.51
2015,2,Tucumán,35.69
2015,1,Buenos Aires,56.37
2015,1,Capital Federal,114.9
2015,1,Catamarca,25.11
2015,1,Chaco,26.65
2015,1,Chubut,37.61
2015,1,Córdoba,54.7
2015,1,Corrientes,28.95
2015,1,Entre Ríos,42.07
2015,1,Formosa,18.12
2015,1,Jujuy,19.69
2015,1,La Pampa,55.51
2015,1,La Rioja,16.7
2015,1,Mendoza,32.37
2015,1,Misiones,26.31
2015,1,Neuquén,51.95
2015,1,Río Negro,45.33
2015,1,Salta,30.01
2015,1,San Juan,27.55
2015,1,San Luis,9.72
2015,1,Santa Cruz,27.99
2015,1,Santa Fe,50.24
2015,1,Santiago Del Estero,17.06
2015,1,Tierra Del Fuego,74.23
2015,1,Tucumán,35.08
2014,4,Buenos Aires,56.09
2014,4,Capital Federal,114.9
2014,4,Catamarca,25.51
2014,4,Chaco,21.87
2014,4,Chubut,40.25
2014,4,Córdoba,54.7
2014,4,Corrientes,23.56
2014,4,Entre Ríos,36.03
2014,4,Formosa,17.96
2014,4,Jujuy,19.6
2014,4,La Pampa,51.27
2014,4,La Rioja,17.01
2014,4,Mendoza,32.64
2014,4,Misiones,24.16
2014,4,Neuquén,52.55
2014,4,Río Negro,45.48
2014,4,Salta,29.53
2014,4,San Juan,28.04
2014,4,San Luis,9.79
2014,4,Santa Cruz,27.8
2014,4,Santa Fe,50.0
2014,4,Santiago Del Estero,17.27
2014,4,Tierra Del Fuego,66.14
2014,4,Tucumán,35.32
2014,3,Buenos Aires,56.75
