Provincia,Partido,Localidad,Link Indec,ADSL,CABLEMODEM,DIAL UP,FIBRA OPTICA,OTROS,SATELITAL,WIMAX,WIRELESS,Total general
CHUBUT,Paso de Indios,Paso de Indios,26070030,0,0,0,0,0,1,0,0,1
CHUBUT,Rawson,Playa Unión,26077020,675,209,12,101,1,0,0,421,1419
CHUBUT,Rawson,Rawson,26077030,1747,8805,41,774,300,1,0,343,12011
CHUBUT,Rawson,Trelew,26077040,6877,23996,287,722,1094,3,0,1130,34109
CHUBUT,Rawson,Playa Magagna,26077010,0,1700,0,0,0,0,0,3,1703
CHUBUT,Río Senguer,Aldea Apeleg,26084010,0,0,0,0,0,1,0,1,2
CHUBUT,Río Senguer,Aldea Beleiro,26084020,0,0,0,0,0,2,0,0,2
CHUBUT,Río Senguer,Alto Río Senguer,26084030,0,0,1,0,0,2,0,1,4
CHUBUT,Río Senguer,Doctor Ricardo Rojas,26084040,0,0,0,0,0,1,0,0,1
CHUBUT,Río Senguer,Facundo,26084050,0,0,0,0,0,1,0,41,42
CHUBUT,Río Senguer,Lago Blanco,26084060,0,0,0,0,0,1,0,0,1
CHUBUT,Río Senguer,Río Mayo,26084070,140,0,0,4,0,3,0,621,768
CHUBUT,Sarmiento,Buen Pasto,26091010,0,0,0,0,0,1,0,0,1
CHUBUT,Sarmiento,SARMIENTO,26091020,2133,1,0,712,0,2,0,270,3118
CHUBUT,Tehuelches,Gobernador Costa,26098020,0,0,1,0,0,0,0,0,1
CHUBUT,Tehuelches,José de San Martín,26098030,0,0,0,0,0,1,0,0,1
CHUBUT,Tehuelches,Río Pico,26098040,0,0,1,0,0,2,0,0,3
CHUBUT,Telsen,Gan Gan,26105010,0,0,0,0,1,1,0,11,13
CHUBUT,Telsen,Telsen,26105020,0,16,0,0,0,8,0,42,66
CORDOBA,Calamuchita,Amboy,14007010,0,0,0,0,0,0,0,19,19
CORDOBA,Calamuchita,Cañada del Sauce,14007030,1,0,0,0,0,0,0,0,1
CORDOBA,Calamuchita,Capilla Vieja,14007040,0,0,0,0,0,0,0,5,5
CORDOBA,Calamuchita,El Corcovado - El Torreón,14007050,52,0,0,0,0,0,0,30,82
CORDOBA,Calamuchita,Embalse,14007060,0,0,0,1533,0,1,0,1942,3476
CORDOBA,Calamuchita,La Cruz,14007070,10,0,0,0,0,0,0,383,393
CORDOBA,Calamuchita,La Cumbrecita,14007080,0,0,0,0,0,0,0,250,250
CORDOBA,Calamuchita,Las Bajadas,14007090,0,0,0,0,0,0,0,28,28
CORDOBA,Calamuchita,Los Cóndores,14007110,423,0,0,0,0,1,0,516,940
CORDOBA,Calamuchita,Los Molinos,14007120,0,0,0,0,0,0,0,44,44
