Año,Trimestre,Provincia,Mbps (Media de bajada)
2015,4,Río Negro,377.0
2015,4,Salta,467.0
2015,4,San Juan,348.0
2015,4,San Luis,350.0
2015,4,Santa Cruz,348.0
2015,4,Santa Fe,481.0
2015,4,Santiago Del Estero,409.0
2015,4,Tierra Del Fuego,347.0
2015,4,Tucumán,488.0
2015,3,Buenos Aires,470.0
2015,3,Capital Federal,566.0
2015,3,Catamarca,388.0
2015,3,Chaco,547.0
2015,3,Chubut,328.0
2015,3,Córdoba,487.0
2015,3,Corrientes,506.0
2015,3,Entre Ríos,477.0
2015,3,Formosa,417.0
2015,3,Jujuy,353.0
2015,3,La Pampa,291.0
2015,3,La Rioja,425.0
2015,3,Mendoza,350.0
2015,3,Misiones,563.0
2015,3,Neuquén,423.0
2015,3,Río Negro,374.0
2015,3,Salta,442.0
2015,3,San Juan,348.0
2015,3,San Luis,350.0
2015,3,Santa Cruz,348.0
2015,3,Santa Fe,456.0
2015,3,Santiago Del Estero,391.0
2015,3,Tierra Del Fuego,348.0
2015,3,Tucumán,457.0
2015,2,Buenos Aires,446.0
2015,2,Capital Federal,531.0
2015,2,Catamarca,368.0
2015,2,Chaco,519.0
2015,2,Chubut,322.0
2015,2,Córdoba,456.0
2015,2,Corrientes,485.0
2015,2,Entre Ríos,455.0
2015,2,Formosa,376.0
2015,2,Jujuy,341.0
2015,2,La Pampa,286.0
2015,2,La Rioja,400.0
2015,2,Mendoza,350.0
2015,2,Misiones,533.0
2015,2,Neuquén,406.0
2015,2,Río Negro,367.0
2015,2,Salta,422.0
2015,2,San Juan,348.0
2015,2,San Luis,350.0
2015,2,Santa Cruz,347.0
2015,2,Santa Fe,430.0
2015,2,Santiago Del Estero,373.0
2015,2,Tierra Del Fuego,348.0
2015,2,Tucumán,431.0
2015,1,Buenos Aires,432.0
2015,1,Capital Federal,500.0
2015,1,Catamarca,348.0
2015,1,Chaco,490.0
2015,1,Chubut,321.0
2015,1,Córdoba,430.0
2015,1,Corrientes,463.0
2015,1,Entre Ríos,435.0
2015,1,Formosa,338.0
2015,1,Jujuy,324.0
2015,1,La Pampa,283.0
2015,1,La Rioja,378.0
2015,1,Mendoza,350.0
2015,1,Misiones,497.0
2015,1,Neuquén,391.0
2015,1,Río Negro,359.0
2015,1,Salta,402.0
2015,1,San Juan,348.0
