Año,Trimestre,Provincia,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS,Total
2020,3,San Juan,48.0,194.0,65.526,711.0,6.529,41.0,128,4.15,77.327
2020,3,San Luis,105.0,0.0,12.199,3.351,2.666,61.319,8,36.917,116.565
2020,3,Santa Cruz,66.0,0.0,26.888,4.015,6.73,629.0,120,833.0,39.281
2020,3,Santa Fe,568.0,1.241,213.353,199.381,92.095,58.797,210.562,27.001,802.998
2020,3,Santiago Del Estero,133.0,909.0,33.287,57.418,4.658,292.0,3.994,4.801,105.492
2020,3,Tierra Del Fuego,11.0,0.0,22.094,5.414,3.726,481.0,937,6.992,39.655
2020,3,Tucumán,52.0,97.0,45.913,54.61,33.126,3.246,84.195,2.637,223.876
2020,2,Buenos Aires,37.542,31.606,1.129.236,241.336,233.132,188.995,1.894.466,21.233,3.777.546
2020,2,Capital Federal,264.0,312.0,166.474,94.585,79.858,80.16,935.481,687.0,1.357.821
2020,2,Catamarca,63.0,0.0,8.801,8.69,10.242,426.0,16.578,3.176,47.976
2020,2,Chaco,308.0,928.0,24.350,21.14,29.044,12.082,33.311,6.969,128.132
2020,2,Chubut,158.0,109.0,69.578,22.188,10.537,1.473,614,3.999,108.656
2020,2,Córdoba,168.0,4.383,219.025,125.932,89.53,63.216,325.243,8.971,836.468
2020,2,Corrientes,72.0,527.0,34.242,22.845,25.844,7.898,22.418,5.02,118.866
2020,2,Entre Ríos,130.0,3.679,66.758,50.64,42.09,12.856,43.391,14.569,234.113
2020,2,Formosa,391.0,151.0,23.534,7.109,6.998,961.0,7.475,1.313,47.932
2020,2,Jujuy,55.0,182.0,30.548,10.519,26.829,209.0,9.417,16.557,94.316
2020,2,La Pampa,293.0,810.0,71.218,7.531,3.8,1.657,3.377,1.123,89.809
2020,2,La Rioja,21.0,1.0,37.375,5.661,4.686,73.0,4.336,2.0,52.155
2020,2,Mendoza,58.0,40.0,142.253,12.439,35.274,3.248,5.422,2.45,201.184
2020,2,Misiones,71.0,524.0,39.867,23.719,26.445,12.305,28.763,8.646,140.340
2020,2,Neuquén,218.0,327.0,61.171,6.103,6.625,5.296,46.432,0.0,126.172
2020,2,Río Negro,114.0,466.0,70.817,3.335,7.498,3.246,26.953,17.057,129.486
2020,2,Salta,129.0,514.0,41.801,64.463,16.989,7.741,39.594,6.531,177.762
2020,2,San Juan,48.0,194.0,59.113,917.0,4.908,40.0,127,4.43,69.777
2020,2,San Luis,105.0,0.0,11.439,3.585,1.934,60.889,8,35.992,113.952
2020,2,Santa Cruz,66.0,0.0,26.938,4.166,6.541,546.0,119,493.0,38.869
2020,2,Santa Fe,568.0,2.061,213.054,198.772,96.575,57.236,189.473,20.193,777.932
2020,2,Santiago Del Estero,133.0,1.779,32.557,57.709,5.178,247.0,3.328,4.516,105.447
2020,2,Tierra Del Fuego,11.0,0.0,22.325,5.186,3.034,391.0,796,7.446,39.189
2020,2,Tucumán,52.0,97.0,49.028,54.537,34.184,2.246,74.377,2.635,217.156
2020,1,Buenos Aires,38.215,36.802,1.122.034,236.421,247.977,205.78,1.802.583,28.935,3.718.747
2020,1,Capital Federal,264.0,312.0,169.651,102.254,89.665,85.899,906.009,0.0,1.354.054
2020,1,Catamarca,63.0,0.0,8.838,7.543,9.558,408.0,10.299,2.151,38.860
2020,1,Chaco,308.0,928.0,23.291,19.976,29.851,10.416,28.539,6.917,120.226
2020,1,Chubut,158.0,109.0,69.586,12.957,7.756,1.24,614,4.5,96.920
2020,1,Córdoba,142.0,5.128,217.229,120.188,95.827,65.733,296.875,9.802,810.924
2020,1,Corrientes,72.0,527.0,33.479,21.382,26.679,7.351,19.467,4.78,113.737
2020,1,Entre Ríos,130.0,4.081,72.280,47.132,41.125,11.988,39.794,13.762,230.292
2020,1,Formosa,1.127,342.0,23.761,6.5,6.564,964.0,6.918,100.0,46.276
2020,1,Jujuy,55.0,182.0,33.120,9.979,26.693,166.0,7.349,16.545,94.089
2020,1,La Pampa,293.0,811.0,72.740,7.199,3.029,1.342,2.113,1.618,89.145
2020,1,La Rioja,21.0,1.0,37.209,5.158,4.64,22.0,1.294,0.0,48.345
2020,1,Mendoza,58.0,40.0,140.410,12.285,17.489,2.86,3.818,0.0,176.960
2020,1,Misiones,71.0,524.0,36.622,21.271,26.433,11.581,26.313,10.885,133.700
2020,1,Neuquén,218.0,327.0,60.152,5.257,7.123,5.399,43.738,0.0,122.214
2020,1,Río Negro,114.0,466.0,69.154,2.93,7.857,3.199,25.488,17.719,126.927
