Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total
2019 *,3 *,Río Negro,67.0,37.0,10.0,11.0,19.0,144.0
2019 *,3 *,Salta,66.0,74.0,733.0,2.0,9.0,152.0
2019 *,3 *,San Juan,52.0,7.0,1.0,7.0,6.0,73.0
2019 *,3 *,San Luis,13.0,11.0,350.0,62.0,36.0,123.0
2019 *,3 *,Santa Cruz,11.0,17.0,969.0,7.0,3.0,38.0
2019 *,3 *,Santa Fe,319.0,377.0,19.0,24.0,21.0,761.0
2019 *,3 *,Santiago Del Estero,25.0,71.0,219.0,3.0,34.0,133.0
2019 *,3 *,Tierra Del Fuego,20.0,27.0,651.0,0.0,1.0,49.0
2019 *,3 *,Tucumán,151.0,12.0,116.0,684.0,324.0,164.0
2019 *,2 *,Buenos Aires,1.0,2.0,383.0,75.0,33.0,4.0
2019 *,2 *,Capital Federal,310.0,1.0,36.0,4.0,4.0,1.0
2019 *,2 *,Catamarca,26.0,6.0,13.0,146.0,2.0,34.0
2019 *,2 *,Chaco,51.0,47.0,4.0,5.0,2.0,109.0
2019 *,2 *,Chubut,37.0,26.0,2.0,14.0,8.0,88.0
2019 *,2 *,Córdoba,315.0,388.0,23.0,34.0,15.0,775.0
2019 *,2 *,Corrientes,54.0,47.0,2.0,2.0,6.0,112.0
2019 *,2 *,Entre Ríos,97.0,91.0,13.0,17.0,18.0,236.0
2019 *,2 *,Formosa,22.0,9.0,1.0,14.0,162.0,46.0
2019 *,2 *,Jujuy,33.0,31.0,274.0,812.0,22.0,87.0
2019 *,2 *,La Pampa,19.0,52.0,5.0,11.0,3.0,90.0
2019 *,2 *,La Rioja,15.0,35.0,11.0,251.0,41.0,50.0
2019 *,2 *,Mendoza,149.0,54.0,7.0,13.0,2.0,224.0
2019 *,2 *,Misiones,55.0,64.0,543.0,421.0,12.0,133.0
2019 *,2 *,Neuquén,43.0,59.0,5.0,13.0,3.0,123.0
