Provincia,Partido,Localidad,Link Indec,ADSL,CABLEMODEM,DIAL UP,FIBRA OPTICA,OTROS,SATELITAL,WIMAX,WIRELESS,Total general,Unnamed: 13
BUENOS AIRES,Coronel de Marina L. Rosales,Balneario Pehuen Co,6182020,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1,
BUENOS AIRES,Coronel de Marina L. Rosales,Punta Alta  (Est Almirante Solier),6182030,852,"20,57",48,6,- 0,6,- 0,- 0,"21,48",
BUENOS AIRES,Coronel de Marina L. Rosales,Villa General Arias  (Est. Kilómetro 638),6182050,- 0,- 0,- 0,120,- 0,- 0,- 0,- 0,120,
BUENOS AIRES,Coronel de Marina L. Rosales,Pago Chico,6182025,- 0,- 0,- 0,- 0,- 0,- 0,- 0,42,42,
BUENOS AIRES,Coronel de Marina L. Rosales,Bajo Hondo,6182010,- 0,- 0,- 0,30,- 0,- 0,- 0,53,83,
BUENOS AIRES,Coronel Dorrego,Coronel Dorrego,6189030,228,"1,17",3,1,- 0,- 0,- 0,32,"1,43",
BUENOS AIRES,Coronel Dorrego,El Perdido  (Est. José A. Guisasola),6189040,- 0,- 0,- 0,32,- 0,- 0,- 0,5,37,
BUENOS AIRES,Coronel Dorrego,Oriente,6189070,- 0,- 0,- 0,586,- 0,- 0,- 0,48,634,
BUENOS AIRES,Coronel Dorrego,Balneario Marisol,6189020,- 0,- 0,- 0,342,- 0,- 0,- 0,- 0,342,
BUENOS AIRES,Coronel Pringles,Coronel Pringles  (Est. Pringles),6196010,649,"2,06",3,5,- 0,- 0,- 0,171,"2,88",
BUENOS AIRES,Coronel Pringles,Indio Rico,6196040,- 0,- 0,1,24,- 0,- 0,- 0,3,28,
BUENOS AIRES,Coronel Suárez,Coronel Suárez,6203020,817,"2,43",88,"1,61",88,- 0,- 0,785,"5,82",
BUENOS AIRES,Coronel Suárez,Huanguelén,6203050,- 0,- 0,1,"1,53",- 0,- 0,- 0,546,"2,07",
BUENOS AIRES,Coronel Suárez,Pasman,6203060,- 0,- 0,- 0,- 0,- 0,- 0,- 0,52,52,
